entity,label,count
the gadwal sari,ORG,2
the suyal river,LOC,2
thanka,GPE,2
padam,PERSON,2
darbhanga,GPE,2
pathalgadi movement,ORG,2
the ilkal saree,WORK_OF_ART,2
persian,NORP,2
mising,PERSON,2
"the ""kaziranga national park",ORG,2
asman jah,PERSON,2
navarrese,NORP,2
patancheru,GPE,2
ali ai ligang,PERSON,2
trishna sanctuary,ORG,2
sohrai and khovar painting,ORG,2
hemkund sahib gurdwara,ORG,2
pattachitra scroll painting,ORG,2
kappad beach,GPE,2
koyilandy,GPE,2
bathu ki,PERSON,2
sangken festival,FAC,2
the great himalayan national park,FAC,2
khairatabad mosque,PERSON,2
harshvardhan,WORK_OF_ART,2
"the ""rowa wildlife sanctuary",ORG,2
"the ""diocese of dornakal of the church of south india",WORK_OF_ART,2
tungabhadra,PERSON,2
"the ""nagaland zoological park",ORG,2
khammam fort,PERSON,2
the undavalli caves,PERSON,2
lakshadeepotsava festival,EVENT,2
kutch embroidery,ORG,2
padam bamboo carvings,PERSON,2
jadopatia painting,PERSON,2
muslims,NORP,2
halmidi,LOC,2
the alaknanda river,LOC,2
hyderabad muslim,NORP,2
the pocharam forest,ORG,2
bushahr kingdom,GPE,2
nallamala,ORG,2
darbhanga fort,FAC,2
dev deepawali,PERSON,2
spituk,ORG,2
kedarnath temple,PERSON,2
chotanagpur,PERSON,2
union territory,ORG,2
chamba kingdom,GPE,2
qutb shahi tombs,WORK_OF_ART,2
the kirateshwar mahadev temple,ORG,2
varsey rhododendron sanctuary,GPE,2
the mahabodhi temple complex,ORG,2
surkanda devi,NORP,2
ms dhoni,PERSON,2
pangsau pass winter festival,WORK_OF_ART,2
banjhakri falls,ORG,2
energy park,FAC,2
thuamul rampur,PERSON,2
the maenam wildlife sanctuary,ORG,2
kartik,ORG,2
mekhela,PERSON,2
"the ""state archaeology museum",ORG,2
nagpuri,GPE,2
laishram sarita devi,WORK_OF_ART,2
kutch,ORG,2
"the ""haora river",ORG,2
agra fort,PERSON,2
a western pahari,NORP,2
bal gangadhar tilak,PERSON,2
the rachakonda fort,ORG,2
raja harsh ka tila,PERSON,2
piparia,GPE,2
nehru zoological park,PERSON,2
mir alam tank,FAC,2
bahadurpura,PERSON,2
chhath puja,WORK_OF_ART,2
bhongir fort,WORK_OF_ART,2
st. andrew's,ORG,2
torma,ORG,2
fort of bricks,FAC,2
geographical indication,ORG,2
"the ""undavalli caves",PRODUCT,2
earth,LOC,2
khichdi mela,WORK_OF_ART,2
irom sharmila chanu,PERSON,2
siddhar agastyar,PERSON,2
the mekhela sador,ORG,2
the gnana saraswati temple,ORG,2
the paigah palace,FAC,1
the aravalli hills,GPE,1
thewa,GPE,1
the bodhi tree,ORG,1
basohli,PERSON,1
the battle of haldighati,WORK_OF_ART,1
amritsar,ORG,1
secret lake,WORK_OF_ART,1
the shivaram wildlife sanctuary,ORG,1
assam tea,PERSON,1
kanchipuram,ORG,1
mulberry,PERSON,1
imphal west,LOC,1
manipur,GPE,1
cubbon park,FAC,1
mg road,FAC,1
the kamakhya temple,FAC,1
mishing,LOC,1
pookalam,NORP,1
king mahabali,PERSON,1
nizams,PERSON,1
the asaf jahi dynasty,ORG,1
oraon,PERSON,1
the tai new year,FAC,1
the tori railway station,ORG,1
nyingma,LOC,1
vijayanagara,PERSON,1
lushai hills,GPE,1
the kohima war cemetery,EVENT,1
congress,ORG,1
congress party,ORG,1
ayurveda,ORG,1
the mary help of,ORG,1
vijayanaga,PERSON,1
the santali & ho,ORG,1
gadwal sar,PERSON,1
gajwel,LOC,1
kumbh mela,PERSON,1
yadavindra gardens,PERSON,1
khortha language,PERSON,1
kurur village,GPE,1
nadimi bird,LOC,1
ali yavar jung,PERSON,1
munda language,PERSON,1
moula ali,PERSON,1
panguni,ORG,1
jallianwala bagh,PERSON,1
mian,NORP,1
amaravati,GPE,1
trishna,GPE,1
neo-vaishnavite,PERSON,1
coo,ORG,1
snapdeal,PERSON,1
mangalagiri,ORG,1
beach,PERSON,1
national highway 66,ORG,1
religion buddhism,PRODUCT,1
the daman ganga river,GPE,1
qutb shahi,FAC,1
kondapalli,PERSON,1
natyanjali dance festival,FAC,1
kaveri sankramana,LOC,1
bce,ORG,1
lepakshi,PERSON,1
palak dil,PERSON,1
maharaja birendra kishore manikya,ORG,1
the agartala book fair,ORG,1
the indo-aryan,ORG,1
the ramagiri hills,LOC,1
the ins khukri memorial,ORG,1
maenam wildlife sanctuary,ORG,1
world,PERSON,1
drukpa lineage,ORG,1
rangcha,PERSON,1
the bhaga river,LOC,1
kalinga,PERSON,1
the pungro circle,LOC,1
the advaita vedanta,FAC,1
adi shankara,PERSON,1
qila mubarak,PERSON,1
bathinda,ORG,1
gangtok in changu,ORG,1
badami,GPE,1
fort louis,GPE,1
rani,PERSON,1
wood carving,ORG,1
halmidi inscription,ORG,1
tawang monastery,PERSON,1
maenam,GPE,1
godavari river,LOC,1
mong mao,PERSON,1
the patkai mountains,LOC,1
kirateshwar mahadev temple,PERSON,1
atharamura hills,PERSON,1
royal palace,ORG,1
"the ""asman garh palace",PRODUCT,1
"the ""lepakshi temple",ORG,1
govindaji,PERSON,1
maharani gunabati,ORG,1
"the ""sepahijala wildlife sanctuary",ORG,1
the geographical indication of the agreement on trade-related aspects of intellectual property rights,ORG,1
emperor ashoka,ORG,1
mahabalipuram temples,WORK_OF_ART,1
the rowa wildlife sanctuary,ORG,1
the brahmaputra river,LOC,1
the aati kalenja,LOC,1
kamalasagar,PERSON,1
bangladesh,GPE,1
world book fair,EVENT,1
garh palace,PERSON,1
kangri,NORP,1
nakshatra garden,ORG,1
hingot mela,PERSON,1
east central railway,LOC,1
manda,GPE,1
the chettinad mansions,ORG,1
madurai,ORG,1
the purulia chhau,ORG,1
kanchi kamakoti peetha,WORK_OF_ART,1
chorten stupa,PERSON,1
the group of monuments at,ORG,1
hampi,FAC,1
"the ""mahamaham",ORG,1
viharas,PERSON,1
classical,ORG,1
sharavati,GPE,1
"the ""kadalekai parishe",PRODUCT,1
"the ""gunabati group of temples",ORG,1
hidimbi temple,WORK_OF_ART,1
"the ""cathedral church of the redemption",ORG,1
"the ""bonderam festival",PRODUCT,1
the national academy of letters,ORG,1
the gajwel assembly constituency,ORG,1
dharmaraj,PERSON,1
"the ""surkanda devi temple",ORG,1
battle of haldighati,WORK_OF_ART,1
"the ""kardang monastery",ORG,1
karam devta,PERSON,1
